ASGS_2016,Year,Population,NumBusinesses,WeeklyIncome,UnemploymentRate
11201,2016,80412,8769,733,6.2
21203,2016,176002,8416,845,7.1
10805,2016,54761,3977,591,9.5
20606,2016,67798,11684,1437,4.9
30903,2016,68379,6084,765,8
60303,2016,6891,622,578,5.7
10105,2016,36182,3237,754,5.9
12801,2016,114106,12685,1124,3.6
12502,2016,68864,5920,936,6.4
31902,2016,49852,5341,583,8
10402,2016,87943,6788,690,7.3
21301,2016,196858,11306,692,10.6
10603,2016,73036,4782,731,7.3
70201,2016,39718,2010,1098,9.6
10701,2016,77934,3438,724,7.7
21202,2016,137519,10013,839,7.2
40101,2016,23396,15302,943,11.9
40503,2016,27890,2280,605,9
50605,2016,59349,4403,981,7.1
30306,2016,52380,4318,796,10
31903,2016,50216,4353,599,9.7
31105,2016,62016,4607,860,7.7
