SA3_ID,Region,Population,NumBusinesses,WeeklyIncome,UnemploymentRate
40106,Prospect - Walkerville,28933,2749,1020,6.3
10701,Dapto - Port Kembla,77934,3438,724,7.7
11903,Hurstville,132733,11864,883,6.9
20303,Surf Coast - Bellarine Peninsula,73696,5771,848,4.7
12602,Ryde - Hunters Hill,140873,13611,1099,6.1
39797,Migratory - Offshore - Shipping (Qld),,,,6.3
12601,Pennant Hills - Epping,49288,4476,1209,5.9
40303,Mitcham,65069,4951,986,6
50301,Cottesloe - Claremont,71252,10378,1500,6.3
12103,Ku-ring-gai,123474,14022,1513,4.7
40501,Barossa,36493,3469,790,5
50701,Cockburn,106216,7610,1022,7.6
51103,Goldfields,40317,2309,1206,6.6
60303,South East Coast,6891,622,578,5.7
12102,Hornsby,83456,6860,1125,4.9
30204,Sandgate,60085,2957,903,6.8
12501,Auburn,94077,9471,779,9.6
19797,Migratory - Offshore - Shipping (NSW),,,,3
11504,Rouse Hill - McGraths Hill,34081,3541,1206,3.7
30102,Cleveland - Stradbroke,85516,6719,865,6.1
12001,Canada Bay,89595,9943,1241,4.9
20701,Boroondara,177361,24797,1298,5.6
31102,Beenleigh,42205,2113,715,10.2
31302,Caboolture,69426,3638,705,10.7
10106,Young - Yass,36821,4372,805,4.2
10302,Lachlan Valley,56416,6595,664,6.1
20602,Darebin - South,55271,4574,1125,5.1
31303,Caboolture Hinterland,13668,1156,721,6.4
10102,Queanbeyan,59472,4591,1164,4
10503,Dubbo,71138,7365,744,6.2
21503,Murray River - Swan Hill,37697,4850,643,4.8
50702,Fremantle,38691,5543,1093,7
90104,Norfolk Island,1756,,675,1.6
21202,Casey - North,137519,10013,839,7.2
31003,Ipswich Inner,107320,4896,798,8.6
30601,Cairns - North,54554,3832,951,6.2
31203,Whitsunday,21840,2494,842,5.8
50607,South Perth,44154,4925,1191,7.2
12201,Manly,44994,5495,1674,3.7
50201,Mandurah,99405,5712,746,10.7
31403,Strathpine,38496,2886,833,8.1
50102,Bunbury,104838,7183,857,8.1
